"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","941","should be dirty after changing the file contents and clean after save","Electron","Mon Apr 20 05:16:18 UTC 2026","passed","Mon Apr 20 05:16:19 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","9595","should show main content panel","Browser","Mon Apr 20 05:16:01 UTC 2026","passed","Mon Apr 20 05:16:10 UTC 2026","Theia app","theia-app.test.js","",""
"","123","should have menu bar items","Electron","Mon Apr 20 05:16:09 UTC 2026","passed","Mon Apr 20 05:16:09 UTC 2026","Theia app","theia-app.test.js","",""
"","30","should show status bar","Electron","Mon Apr 20 05:16:09 UTC 2026","passed","Mon Apr 20 05:16:09 UTC 2026","Theia app","theia-app.test.js","",""
"","844","should be dirty after changing the file contents and clean after save","Browser","Mon Apr 20 05:16:18 UTC 2026","passed","Mon Apr 20 05:16:19 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","186","should have menu bar items","Browser","Mon Apr 20 05:16:11 UTC 2026","passed","Mon Apr 20 05:16:11 UTC 2026","Theia app","theia-app.test.js","",""
"","7099","should be visible and active after opening ""sample.txt""","Browser","Mon Apr 20 05:16:11 UTC 2026","passed","Mon Apr 20 05:16:18 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","8728","should show main content panel","Electron","Mon Apr 20 05:16:01 UTC 2026","passed","Mon Apr 20 05:16:09 UTC 2026","Theia app","theia-app.test.js","",""
"","62","should show status bar","Browser","Mon Apr 20 05:16:10 UTC 2026","passed","Mon Apr 20 05:16:11 UTC 2026","Theia app","theia-app.test.js","",""
"","8648","should be visible and active after opening ""sample.txt""","Electron","Mon Apr 20 05:16:09 UTC 2026","passed","Mon Apr 20 05:16:18 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
