"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 16 04:08:11 GMT 2024","Sun Jun 16 04:08:24 GMT 2024","12432","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Sun Jun 16 04:08:11 GMT 2024","Sun Jun 16 04:08:11 GMT 2024","17","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Sun Jun 16 04:08:11 GMT 2024","Sun Jun 16 04:08:11 GMT 2024","209","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Sun Jun 16 04:08:13 GMT 2024","Sun Jun 16 04:08:26 GMT 2024","13441","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Sun Jun 16 04:08:13 GMT 2024","Sun Jun 16 04:08:13 GMT 2024","103","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Sun Jun 16 04:08:13 GMT 2024","Sun Jun 16 04:08:13 GMT 2024","21","Electron","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Sun Jun 16 04:08:06 GMT 2024","Sun Jun 16 04:08:13 GMT 2024","6372","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Sun Jun 16 04:08:07 GMT 2024","Sun Jun 16 04:08:11 GMT 2024","3920","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Sun Jun 16 04:08:26 GMT 2024","Sun Jun 16 04:08:27 GMT 2024","999","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Sun Jun 16 04:08:24 GMT 2024","Sun Jun 16 04:08:25 GMT 2024","1097","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
